Doc ID,Filer Name,Member Name,State,District,Year,Destination,Filing Type,Departure Date,Return Date,Travel Sponsor
500011030,Lisa Cohen,"DeGette, Diana",CO,1,2014,"Tokyo, Japan",Original,1/18/2014,1/24/2014,U.S. Association of Former Members of Congress Sasakawa Peace Foundation USA
500011031,Nicole Scott,"Lucas, Frank",OK,3,2014,"Cambridge, MD",Original,1/29/2014,1/31/2014,The Congressional Insitute
500011035,Rebecca Tallent,"Boehner, John A.",OH,8,2014,"Cambridge, MD",Original,1/29/2014,1/31/2014,The Congressional Institute
500011036,Jo-Marie St. Martin,"Boehner, John A.",OH,8,2014,"Cambridge, MD",Original,1/29/2014,1/31/2014,The Congressional Institute
500011037,Trevor Kolego,"Boehner, John A.",OH,8,2014,"Cambridge, MD",Original,1/29/2014,1/31/2014,The Congressional Institute
500011038,Brendan Buck,"Boehner, John A.",OH,8,2014,"Cambridge, MD",Original,1/29/2014,1/31/2014,The Congressional Institute
500011039,Michael Sommers,"Boehner, John A.",OH,8,2014,"Cambridge, MD",Original,1/29/2014,1/31/2014,The Congressional Institute
500011040,"Cynthia ""Cindy"" A. Herrle","Boehner, John A.",OH,8,2014,"Cambridge, MD",Original,1/29/2014,1/31/2014,The Congressional Institute
500011041,Thomas Andrews,"Boehner, John A.",OH,8,2014,"Cambridge, MD",Original,1/29/2014,1/31/2014,The Congressional Institute
500011042,Caleb Smith,"Boehner, John A.",OH,8,2014,"Cambridge, MD",Original,1/29/2014,1/31/2014,Congressional Institute
500011043,William Greene,"Boehner, John A.",OH,8,2014,"Cambridge, MD",Original,1/29/2014,1/31/2014,Congressional Institute
500011044,Ryan Day,"Boehner, John A.",OH,8,2014,"Cambridge, MD",Original,1/29/2014,1/31/2014,The Congressional Institute
500011045,Kelly Craven,"Boehner, John A.",OH,8,2014,"Cambridge, MD",Original,1/29/2014,1/31/2014,The Congressional Institute
500011046,Kevin Smith,"Boehner, John A.",OH,8,2014,"Cambridge, MD",Original,1/29/2014,1/31/2014,The Congressional Institute
500011047,Michael Steel,"Boehner, John A.",OH,8,2014,"Cambridge, MD",Original,1/29/2014,1/31/2014,The Congressional Institute
500011049,W. Connor Walsh,"Cantor, Eric",VA,7,2014,"Cambridge, MD",Original,1/29/2014,1/31/2014,The Congressional Institute
500011050,Shawn H. Chang,"Waxman, Henry A.",CA,33,2014,"New York, NY",Original,1/26/2014,1/28/2014,Practicing Law Institute
500011051,David Schnittger,"Boehner, John A.",OH,8,2014,"Cambridge, MD",Original,1/29/2014,1/31/2014,Congressional Institute
500011052,Anne Thorsen,"Boehner, John A.",OH,8,2014,"Cambridge, MD",Original,1/29/2014,1/31/2014,Congressional Institute
500011053,David Stewart,"Boehner, John A.",OH,8,2014,"Cambridge, MD",Original,1/29/2014,1/31/2014,The Congressional Institute
500011054,Anne Palisi,"Boehner, John A.",OH,8,2014,"Cambridge, MD",Original,1/29/2014,1/30/2014,The Congressional Institute
500011058,Robert Lee Simmons II,"McKeon, Howard P. ""Buck""",CA,25,2014,"Cambridge, MD",Original,1/29/2014,1/31/2014,The Congressional Institute
500011059,Lynnel Ruckert,"Scalise, Steve",LA,1,2014,"Cambridge, MD",Original,1/29/2014,1/31/2014,The Congressional Institute
500011060,Sean Moran,"Miller, Candice S.",MI,10,2014,"Cambridge, MD",Original,1/29/2014,1/31/2014,The Congressional Institute
500011061,David B. McKinley,"McKinley, David",WV,1,2014,"Richmond, VA",Original,2/6/2014,2/8/2014,Heritage Foundation
500011062,David Peluso,"McMorris Rodgers, Cathy",WA,5,2014,"Cambridge, MD",Original,1/29/2014,1/31/2014,The Congressional Institute
500011063,David Mork,"Roskam, Peter",IL,6,2014,"Cambridge, MD",Original,1/29/2014,1/31/2014,The Congressional Institute
500011064,Brian MacDonald,"Walden, Greg",OR,2,2014,"Cambridge, MD",Original,1/29/2014,1/31/2014,The Congressional Institute
500011065,Brian MacDonald,"Walden, Greg",OR,2,2014,"Addis Ababa, Ethiopia",Original,1/18/2014,1/24/2014,"Cooperative for Assistance and Relief Everywhere, Inc."
500011065,Brian MacDonald,"Walden, Greg",OR,2,2014,"Dire Dawa, Ethiopia",Original,1/18/2014,1/24/2014,"Cooperative for Assistance and Relief Everywhere, Inc."
500011065,Brian MacDonald,"Walden, Greg",OR,2,2014,"Hawassa, Ethiopia",Original,1/18/2014,1/24/2014,"Cooperative for Assistance and Relief Everywhere, Inc."
500011071,Marshall Sanford,"Sanford, Mark",SC,1,2014,"Richmond, VA",Original,2/6/2014,2/8/2014,The Heritage Foundation
500011072,Joseph D. Courtney,"Courtney, Joe",CT,2,2014,"Toronto, Canada",Original,2/9/2014,2/10/2014,Connecticut District Export Council (DEC)
500011073,Thomas Price,"Price, Tom",GA,6,2014,"Richmond, VA",Original,2/6/2014,2/8/2014,The Heritage Foundation
500011074,Andy Harris,"Harris, Andy",MD,1,2014,"Richmond, VA",Original,2/6/2014,2/8/2014,The Heritage Foundation
500011075,Doug LaMalfa,"LaMalfa, Doug",CA,1,2014,"Richmond, VA",Original,2/6/2014,2/8/2014,The Heritage Foundation
500011077,Joe Barton,"Barton, Joe",TX,6,2014,"Richmond, VA",Original,2/6/2014,2/8/2014,The Heritage Foundation
500011078,Tim Walberg,"Walberg, Tim",MI,7,2014,"Richmond, VA",Original,2/6/2014,2/8/2014,The Heritage Foundation
500011079,Chris Collins,"Collins, Chris",NY,27,2014,"Richmond, VA",Original,2/6/2014,2/8/2014,The Heritage Foundation
500011081,Bob Goodlatte,"Goodlatte, Bob",VA,6,2014,"Richmond, VA",Original,2/6/2014,2/7/2014,The Heritage Foundation
500011082,Cutter Oliver,"Courtney, Joe",CT,2,2014,"Toronto, Canada",Original,2/8/2014,2/11/2014,CT District Export Council
500011083,Linda Shim,"Chu, Judy",CA,27,2014,"Philadelphia, PA",Original,2/6/2014,2/8/2014,Progressive Congress
500011084,Judy Chu,"Chu, Judy",CA,27,2014,"Philadelphia, PA",Original,2/6/2014,2/8/2014,Progressive Congress
500011085,Barbara Lee,"Lee, Barbara",CA,13,2014,"Philadelphia, PA",Original,2/6/2014,2/8/2014,Progressive Congress
500011086,James Long,"Ellison, Keith",MN,5,2014,"Philadelphia, PA",Original,2/6/2014,2/8/2014,Progressive Congress
500011087,Keith Ellison,"Ellison, Keith",MN,5,2014,"Philadelphia, PA",Original,2/6/2014,2/8/2014,Progressive Congress
500011088,Kari Moe,"Ellison, Keith",MN,5,2014,"Philadelphia, PA",Original,2/6/2014,2/8/2014,Progressive Congress
500011089,Matt Cartwright,"Cartwright, Matt",PA,17,2014,"Philadelphia, PA",Original,2/6/2014,2/8/2014,Progressive Congress
500011090,Steve King,"King, Steve",IA,4,2014,"Richmond, VA",Original,2/6/2014,2/8/2014,The Heritage Foundation
500011097,Michele Bachmann,"Bachmann, Michele",MN,6,2014,"Richmond, VA",Original,2/6/2014,2/8/2014,The Heritage Foundation
500011098,David B. McKinley,"McKinley, David",WV,1,2014,"Richmond, VA",Amendment,2/6/2014,2/8/2014,The Heritage Foundation
500011099,Paul A. Gosar,"Gosar, Paul",AZ,4,2014,"Richmond, VA",Original,2/6/2014,2/8/2014,The Heritage Foundation
500011100,Richard Hudson,"Hudson, Richard",NC,8,2014,"Richmond, VA",Original,2/7/2014,2/8/2014,The Heritage Foundation
500011101,Alan Nunnelee,"Nunnelee, Alan",MS,1,2014,"Richmond, VA",Original,2/6/2014,2/8/2014,The Heritage Foundation
500011102,William H. Flores,"Flores, Bill",TX,17,2014,"Richmond, VA",Original,2/6/2014,2/7/2014,The Heritage Foundation
500011103,Louis Gohmert,"Gohmert, Louie",TX,1,2014,"Richmond, VA",Original,2/7/2014,2/8/2014,The Heritage Foundation
500011104,Steve Chabot,"Chabot, Steve",OH,1,2014,"Richmond, VA",Original,2/6/2014,2/8/2014,The Heritage Foundation
500011105,Jeb Hensarling,"Hensarling, Jeb",TX,5,2014,"Richmond, VA",Original,2/6/2014,2/7/2014,The Heritage Foundation
500011106,Steve Scalise,"Scalise, Steve",LA,1,2014,"Richmond, VA",Original,2/6/2014,2/8/2014,The Heritage Foundation
500011107,Adrienne Kean,"Scalise, Steve",LA,1,2014,"Richmond, VA",Original,2/6/2014,2/8/2014,The Heritage Foundation
500011108,Lynn Westmoreland,"Westmoreland, Lynn A.",GA,3,2014,"Richmond, VA",Original,2/6/2014,2/8/2014,The Heritage Foundation
500011109,Glenn Miller,"Grijalva, Raul",AZ,3,2014,"Phildelphia, PA",Original,2/6/2014,2/8/2014,Progressive Congress
500011110,Amy Clerkin,"Grijalva, Raul",AZ,3,2014,"Philadelphia, PA",Original,2/6/2014,2/8/2014,Progressive Congress
500011111,Raul Grijalva,"Grijalva, Raul",AZ,3,2014,"Philadelphia, PA",Original,2/6/2014,2/8/2014,Progressive Congress
500011112,Matt Stoller,"Grayson, Alan",FL,9,2014,"Philadelphia, PA",Original,2/6/2014,2/8/2014,Progressive Congress
500011113,Sirat Attapit,"Becerra, Xavier",CA,34,2014,"Philadelphia, PA",Original,2/6/2014,2/8/2014,Progressive Congress
