DocID,FilerName,MemberName,Sate,District,Year,Destination,Filing Type,Departure Date,Return Date,Travel Sponsor
500017366,Elizabeth Stower,"Kind, Ron",WI,3,2017,"London, United Kingdom",Original,5/6/2017,5/10/2017,Global WIN
500017367,Courtney Fogwell,"Schiff, Adam",CA,28,2017,"London, United Kingdom",Original,5/6/2017,5/10/2017,Global Women's Innovation Network
500017368,Barbara Lee,"Lee, Barbara",CA,13,2017,"Boston, MA",Original,5/6/2017,5/8/2017,Massachusetts Institute of Technology
500017369,Julia Tishman,"Hollingsworth, Trey",IN,9,2017,"New York, NY",Original,5/5/2017,5/6/2017,Despository Trust and Clearing Corporation
500017370,Paul Gosar,"Gosar, Paul",AZ,4,2017,"San Diego, CA",Original,4/21/2017,4/22/2017,Heritage Foundation
500017371,Graham Markiewicz,"Heck, Denny",WA,10,2017,"Warrenton, VA",Original,5/6/2017,5/7/2017,Partnership for a Secure America
500017372,Jordan See,"Carter, Earl",GA,1,2017,"Orlando, FL",Original,4/23/2017,4/25/2017,American Telemedicine Association
500017373,Mimi Walters,"Walters, Mimi",CA,45,2017,"Las Vegas, NV",Amendment,4/19/2017,4/19/2017,Main Street Advocacy
500017374,Harry Baumgarten,"Clarke, Yvette",NY,9,2017,"Warrenton, VA",Original,5/6/2017,5/7/2017,Partnership for a  Secure America
500017375,Richard Oliver Schwab,"Schweikert, David",AZ,6,2017,"Warrenton, VA",Original,5/6/2017,5/7/2017,Partnership for a Secure America
500017376,Angeline Riesterer,"Beutler, Jaime Herrera",WA,3,2017,"Baltimore, MD",Original,5/11/2017,5/13/2017,Congressional Institute
500017377,Rachel Collins,"Davis, Rodney",IL,13,2017,"Warrenton, VA",Original,5/6/2017,5/7/2017,Partnership for a Secure America
500017378,Nicholas Schemmel,"Carter, Earl",GA,1,2017,"Los Angeles, CA",Original,5/14/2017,5/16/2017,Internet Association
500017379,Emily Duhovny,"Tonko, Paul",NY,20,2017,"Los Angeles, CA",Original,5/14/2017,5/16/2017,Internet Association
500017380,Raul Grijalva,"Grijalva, Raul",AZ,3,2017,"Baltimore, MD",Amendment,2/3/2017,2/5/2017,Progressive Congress
500017381,Sophie Trainor,"Guthrie, Brett",KY,2,2017,"London, United Kingdom",Original,5/6/2017,5/10/2017,Global Women's Innovation Network
500017382,Sally Rose Larson,"Collins, Doug",GA,9,2017,"London, United Kingdom",Original,5/6/2017,5/10/2017,Global Women's Innovation Network
500017383,Mona Dooley,"King, Peter",NY,2,2017,"New York, NY",Original,5/4/2017,5/5/2017,Depository Trust and Clearing Corporation
500017384,Kendra Brown,"Evans, Dwight",PA,2,2017,"Warrenton, VA",Original,5/6/2017,5/7/2017,Partnership for a Secure America
500017385,Christopher Randle,"Jeffries, Hakeem",NY,8,2017,"Las Vegas, NV",Original,4/23/2017,4/25/2017,National Association of Broadcasters
500017386,Alyssa Wootton,"Farenthold, Blake",TX,27,2017,"Los Angeles, CA",Original,5/14/2017,5/16/2017,Internet Association
500017387,Ashley M. Gutwein,"Chabot, Steve",OH,1,2017,"Los Angeles, CA",Original,5/14/2017,5/16/2017,Internet Association
500017388,Elliott Silverman,"Griffith, H.",VA,9,2017,"Warrenton, VA",Original,5/6/2017,5/7/2017,Partnership for a Secure America
500017390,Kaitlyn McBrayer,"Arrington, Jodey",TX,19,2017,"Baltimore, MD",Original,5/11/2017,5/13/2017,The Congressional Institute
500017392,Corry Schiermeyer,"Carter, John",TX,31,2017,"Baltimore, MD",Original,5/11/2017,5/13/2017,The Congressional Institute
500017393,Jesse von Stein,"Young, Don",AK,0,2017,"Warrenton, VA",Original,5/6/2017,5/7/2017,Partnership for a Secure America
500017394,Adam Stewart,"Bishop, Rob",UT,1,2017,"Baltimore, MD",Original,5/11/2017,5/13/2017,The Congressional Institute
500017395,Ainsley Holyfield,"Johnson, Mike",LA,4,2017,"Baltimore, MD",Original,5/11/2017,5/13/2017,The Congressional Institute
500017396,Michael Taggart,"Lance, Leonard",NJ,7,2017,"Baltimore, MD",Original,5/11/2017,5/13/2017,The Congressional Institute
500017397,"Robert Clark Fonda, Jr.","Pittenger, Robert",NC,9,2017,"Baltimore, MD",Original,5/11/2017,5/13/2017,The Congressional Institute
500017398,Brian Barnard,"Jenkins, Evan",WV,3,2017,"Baltimore, MD",Original,5/11/2017,5/13/2017,The Congressional Institute
500017399,Jeffrey Wilson,"Turner, Michael",OH,10,2017,"Baltimore, MD",Original,5/11/2017,5/13/2017,The Congressional Institute
