,Doc.ID,Filer.Name,Member.Name,State,District,Year,Destination,Filing.Type,Departure.Date,Return.Date,Travel.Sponsor
4291,500011479,G. K. Butterfield,"Butterfield, G.",NC,1,2014,"New York, NY",Original,2014-03-30,2014-04-01,The Humpty Dumpty Institute (HDI) and United Nations Foundation (UNF)
4292,500011480,Michele Bachmann,"Bachmann, Michele",MN,6,2014,"Dallas, TX",Original,2014-03-27,2014-03-28,International Israel Allies Caucus Foundation
4293,500011481,Calita Woods,"Lee, Barbara",CA,13,2014,"New York, NY",Original,2014-03-31,2014-04-01,The Humpty Dumpty Institute (HDI)
4294,500011482,Robin Kelly,"Kelly, Robin",IL,2,2014,"New York, NY",Original,2014-03-30,2014-04-01,The Humpty Dumpty Institute (HDI)
4295,500011484,Veleter Mazyck,"Fudge, Marcia",OH,11,2014,"New York, NY",Original,2014-03-31,2014-04-01,The Humpty Dumpty Institute and United Nations Foundation
4296,500011485,Charlyn Stanberry,"Fudge, Marcia",OH,11,2014,"New York, NY",Original,2014-03-31,2014-04-01,The Humpty Dumpty Institute
4297,500011486,LaDavia Drane,"Fudge, Marcia",OH,11,2014,"New York, NY",Original,2014-03-31,2014-04-01,The Humpty Dumpty Insitute and United Nations Foundation
4298,500011487,Jennifer Shapiro,"Cleaver, Emanuel",MO,5,2014,"Ankara, Turkey",Original,2014-03-14,2014-03-22,Turkic American Federation of Midwest
4299,500011487,Jennifer Shapiro,"Cleaver, Emanuel",MO,5,2014,"Istanbul, Turkey",Original,2014-03-14,2014-03-22,Turkic American Federation of Midwest
4300,500011487,Jennifer Shapiro,"Cleaver, Emanuel",MO,5,2014,"Izmir, Turkey",Original,2014-03-14,2014-03-22,Turkic American Federation of Midwest
4301,500011488,Joseph J. Heck,"Heck, Joseph J.",NV,3,2014,"New Orleans, LA",Original,2014-03-30,2014-03-31,Councile of Emergency Medicine Residency Directors
4302,500011489,Matt Weidinger,"Camp, Dave",MI,4,2014,"New Orleans, LA",Amendment,2014-03-26,2014-03-27,The Heritage Foundation
4303,500011490,Troy D. Stock,"Chaffetz, Jason",UT,3,2014,"Las Vegas, NV",Amendment,2014-01-07,2014-01-10,Consumer Electronics Association
4304,500011492,Jim McDermott,"McDermott, Jim",WA,7,2014,"Warsaw, Poland",Original,2014-03-17,2014-03-21,Freidrich Ebert Foundation
4305,500011493,Ayofemi Kirby,"Fudge, Marcia",OH,11,2014,"New York, NY",Original,2014-03-28,2014-04-01,"Humpty Dumpty Institute, and United Nations Foundation"
4306,500011494,Corrine Brown,"Brown, Corrine",FL,5,2014,"New York, NY",Original,2014-03-31,2014-04-01,"Humpty Dumpty Institute, and United Nations Foundation"
4307,500011495,Edward F. McDonald,"Coble, Howard",NC,6,2014,"Las Vegas, NV",Original,2014-04-05,2014-04-08,National Broadcasters Association
4308,500011496,Jose Garcia,"Garcia, Joe",FL,26,2014,"Cartagena, Colombia",Amendment,2014-02-19,2014-02-22,Aspen Institute Congressional Program
4309,500011497,Philip Swartzfager,"Bachus, Spencer",AL,6,2014,"Las Vegas, NV",Original,2014-04-06,2014-04-08,National Association of Broadcasters (NAB)
